Primary,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,0,0,0,0,0.018,0.018,0.018,0.018,0.018,0.018,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - System Transformation (EE CF),Total installed non-renewable generation capacity (MW)
AMBERTON ROAD,1.9,1.9,1.9,1.9,1.938,1.938,1.938,1.938,1.938,1.938,1.919,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.751,1.502,1.271,1.058,0.858,0.673,0.504,0.358,0.237,0.142,0.075,0,NPgN,Primary,NG FES - System Transformation (EE CF),Total installed non-renewable generation capacity (MW)
ANNFIELD 66/20KV,0,0,0,0,0.032,0.032,0.032,0.032,0.032,0.032,0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - System Transformation (EE CF),Total installed non-renewable generation capacity (MW)
ASHINGTON,1.31,1.31,1.31,1.31,1.346,1.346,1.346,1.346,1.346,1.346,1.327,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.272,1.237,1.204,1.171,1.143,NPgN,Primary,NG FES - System Transformation (EE CF),Total installed non-renewable generation capacity (MW)
AYCLIFFE FORREST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - System Transformation (EE CF),Total installed non-renewable generation capacity (MW)
AYCLIFFE INDUSTRIAL,0,0,0,0,0.012,0.012,0.012,0.012,0.012,0.012,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - System Transformation (EE CF),Total installed non-renewable generation capacity (MW)
BARDEN FRIAR,0,0,0,0,0.005,0.005,0.005,0.005,0.005,0.005,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - System Transformation (EE CF),Total installed non-renewable generation capacity (MW)
BEDALE,1.425,1.425,1.425,1.425,1.459,1.459,1.459,1.459,1.459,1.459,1.441,1.425,1.425,1.425,1.425,1.425,1.425,1.425,1.425,1.425,1.425,1.425,1.425,1.425,1.425,1.425,1.425,1.383,1.346,1.31,1.273,1.243,NPgN,Primary,NG FES - System Transformation (EE CF),Total installed non-renewable generation capacity (MW)
BELMONT,0,0,0,0,0.03,0.03,0.03,0.03,0.03,0.03,0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - System Transformation (EE CF),Total installed non-renewable generation capacity (MW)
BENSHAM,0,0,0,0,0.016,0.016,0.016,0.016,0.016,0.016,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - System Transformation (EE CF),Total installed non-renewable generation capacity (MW)
